cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom
ctrl_n480_stdpoff,8,480,13100,off,1.263,-0.9427066013360504,0.02397497604679751,0.010293398663949516,-0.9477661135781298,0.008059279265194966,0.005059512242079345,-0.9071702095379395,-0.9479765559077153,3.7774882227189632,1.78446972612808,1.1427704496654436,11.678916792866588,15.568788647576149,519.6006077684001,0.00031042399945288633,0.4999970788203895,0.9999978834106463,126.38928983836581,19.341801385422492,-0.9415368528151913,-0.9462402649294184,-0.9408920163547756,1.0090267055953208,126.4617550036385,126.36837443720688,8,8,0.0006448364604156875,1.281,0.04080634636977587,21.09433487057686,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.0,True,True,True,True,True,True,nan,nan,,
n100_kmin2c_inex15_stdpoff,8,100,2353,off,1.189,-0.9653251025494223,0.024688859051503757,-0.012325102549422318,-0.9480640629896431,0.0074428423920620814,-0.0172610395597792,-0.9523945107288795,-0.9456485157016205,0.9944839269763338,0.42916309607157294,1.0407221243815337,13.863696979244283,15.077109087652907,519.6019628413649,0.0011881307539308196,0.4999500499829218,0.9999724909379735,117.63856812934551,44.67378752826833,-0.9626953808247601,-0.9687178806797706,-0.96523736540564,0.9940962777403503,118.65006829103184,117.56857018949127,8,8,-0.0025419845808798552,1.184,-0.006745995027259033,12.646321207284927,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.00029794941151328747,True,True,True,True,True,True,nan,nan,,
n100_kmin2c_stdpoff,8,100,2353,off,1.247,-0.9488051170054542,0.02725855551057614,0.0041948829945457344,-0.9412332391331729,0.006274744447949211,-0.007571877872281307,-0.9287843704408028,-0.9373235368871029,1.3189581444556961,0.777188140315019,1.042431245455973,13.374969301096757,15.072301374207324,519.599069104036,0.0012194940619433773,0.49980573578642024,0.9999719666818774,123.98960739033069,33.992494226011566,-0.9546135782050481,-0.948052663308405,-0.9446519074341457,0.9798891711049881,123.77429953835218,124.56412222819745,7,8,0.009961670770902431,1.238,0.00853916644630015,12.713685303926468,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.006532874444956871,True,True,True,True,True,True,nan,nan,,
n100_kmin3c_inex15_stdpoff,8,100,2532,off,1.14,-0.9743146533526824,0.01731475975736745,-0.021314653352682456,-0.956606545750271,0.0021096947449697964,-0.01770810760241137,-0.9684035238628405,-0.9578347531119843,0.9986636963825996,0.4377939799857476,1.046920731697282,14.055034620463111,15.10974412978027,519.600739899556,0.0010586181881874406,0.500254470772967,0.9999771245120284,114.7517321016825,50.952655888402134,-0.9757624741128281,-0.9739204151424862,-0.9734539441874284,1.0061318796665997,114.24750131321481,114.67599663912095,8,8,0.002308529925399719,1.126,-0.01056877075085616,13.033491730690002,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.008840432172141255,False,True,True,True,True,False,nan,nan,,"MORE alternating than baseline by 0.021 (troughF 1.00): too much inhibition, step it back"
n100_kmin2c_stdpon,8,100,2353,on,1.217,-0.9582195466051102,0.019515319465354355,0.014780453394889759,-0.9452356696138746,0.004221908552984809,-0.012983876991235599,-0.9384802861184848,-0.9411837209028465,1.1688568106415258,0.5379614815898235,1.021412278186262,13.589708273684181,15.217970213381735,519.5968230989054,0.0008885835157119684,0.4999453207645759,0.9999824252879655,120.8140877598955,36.8071593528742,-0.9609696842482697,-0.9594967943075678,-0.960281256377115,1.0130492445983963,121.89645386947431,119.30203005010824,7,8,0.0006884278711547093,1.212,0.0027034347843617468,12.577058762311935,22.732758675748478,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,nan,nan,,
n100_kmin3c_inex15_stdpon,8,100,2532,on,1.123,-0.9755440455504658,0.013508117782749612,-0.0025440455504658344,-0.9546574090740345,0.0027975592952031274,-0.020886636476431297,-0.9729598526119437,-0.9580661482314403,0.8938044479807445,0.30036831324662056,1.0215924194199644,14.118666322178337,15.24864367462253,519.5971693955764,0.0008110591685689467,0.5002507645150422,0.9999856163271021,111.28752886839266,54.41685912168886,-0.9733091214414326,-0.9773179347810503,-0.9772279069507864,1.0013543214057274,112.15271142758385,110.34727192329734,8,8,-0.003918785509353914,1.106,-0.014893704380503414,13.045653313398361,22.547535091232746,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,nan,nan,,
n100_kmin3c_inex15_stdpon_lam6,8,100,2532,on,1.145,-0.9741978157002121,0.014876384995073823,-0.001197815700212157,-0.954471084846656,0.003958964522346563,-0.01972673085355614,-0.9692198379330095,-0.9575087576971271,0.9115458210625804,0.3187386538774236,1.0457157338333611,14.053570505436154,15.136879142533965,519.5968321120795,0.0010274351439821775,0.5000861365589963,0.9999796542652641,113.16397228646841,51.31351039194585,-0.9744470285938086,-0.9760960062242681,-0.9724871489567788,0.9962672370412651,113.23595421255015,112.6580995766564,8,8,0.0019598796370298016,1.124,-0.01171108023588241,12.830471217632294,2.8133114009614975,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,nan,nan,,
