cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom,gait_ms,trough_lim,A6,A7,d_rg_base,d_rg_base_R,A8
n100_final_g350_stdpoff,8,100,2710,off,1.146,-0.9317611286748753,0.01525698960331744,-0.01337741273092119,-0.9208936533119663,0.011655069784180174,-0.010867475362908996,-0.925358570747393,-0.9220538918407823,2.0945008990310434,0.15619923498956634,2.9221656786268984,11.457490916131967,12.048238508129693,350.40055236596,0.0016498566981302339,0.4993231023991247,0.9999337117667688,111.72945205493147,71.70376712275494,-0.9282983316806421,-0.9369392066981221,-0.9309751507365964,0.9928226202796206,112.35984782094414,111.96267249791076,8,8,-0.0026768190559542104,1.18,-0.0033046789066106808,13.831218928098679,nan,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",base_k100_g350_stdpoff,-0.025707100982917286,True,True,True,True,True,True,-0.9183837159439541,-0.01337741273092119,,,350,4.0,True,True,-0.025707100982917286,-0.027808014493414412,True
n100_final_g520_stdpoff,8,100,2710,off,1.132,-0.9872703479335666,0.006607851394094455,-0.03259506314786964,-0.9551424394554471,0.010051399384040172,-0.03212790847811953,-0.9805973121746905,-0.9574559933103877,0.8701710784078761,0.047976170290632565,1.0665354564825396,13.988607224055235,15.159726697503363,519.6014707911954,0.0009599694041715766,0.49962910691614393,0.9999772363183471,112.3700923787952,54.705542724329725,-0.9857323273089635,-0.9892336159744174,-0.9870310522348569,0.9996693374586738,112.58865804429645,112.5137749270745,8,8,-0.0012987249258932798,1.155,-0.023141318864302818,12.426404267549515,nan,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",base_k100_g350_stdpoff,-0.0599558871263981,False,True,True,True,True,False,-0.954675284785697,-0.03259506314786964,,"RIGHT leg off baseline (corr_F R -0.981, corr_RG R -0.957)",520,4.0,False,True,-0.017054018121933856,-0.021363767926101063,True
n100_final_g780_stdpoff,8,100,2710,off,1.713,-0.9926264929764658,0.0023174995276711878,0.0009576585917017155,-0.9193674664565461,0.011706374288324382,-0.07325902651991967,-0.9918445810746068,-0.9239374031009493,0.2653118516759332,0.04073045261338954,0.3560426856840116,15.925087840805654,16.317515614850226,779.9791328659036,0.0015557518545561001,0.4998251469943293,0.9999647477649505,172.1708333333412,75.03222222232299,-0.9932188524147457,-0.9922414825703189,-0.9926605652199242,0.9997554943416206,171.75416669851202,172.9500001907615,8,8,0.000558287194821594,1.752,-0.06790717797365753,13.268013775348663,nan,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",base_k100_g350_stdpoff,-0.024180914127497122,True,True,True,True,True,True,-0.9935841515681675,0.0009576585917017155,,,780,4.0,True,True,0.010371977486617112,-0.0010668201826582457,True
n100_final_g350_stdpon,8,100,2710,on,1.139,-0.927461489190621,0.019452224209796715,-0.00907777324666692,-0.9206778961264355,0.012010058786941594,-0.0067835930641855224,-0.9223672620062121,-0.921230183197305,2.1005199018178735,0.199901221580598,2.924462914664904,11.52078223978083,12.062111234998895,350.3987127480957,0.0016078742504891418,0.4992324182322951,0.9999447974224747,111.51541095901896,71.70376712280608,-0.9253653912399692,-0.9262742880490336,-0.9316033290046416,0.9999582502956824,111.09991235762796,111.51119405171468,7,8,-0.006237937764672324,1.182,-0.0011370788089071215,13.960281521081924,2.718087015494266,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",,nan,True,True,True,True,True,True,-0.9183837159439541,-0.00907777324666692,,,350,4.0,True,True,-0.02549134379738649,-0.02698430584993705,True
n100_final_g520_stdpon,8,100,2710,on,1.129,-0.9866575823469217,0.005441948254051944,-0.031982297561224726,-0.9576403045839748,0.00868118993477189,-0.029017277762946936,-0.9818126422792577,-0.9569585367557419,0.8720946899483366,0.05225328228971253,1.0629144386745368,13.997428885738982,15.178334893299295,519.6016255626087,0.0009422059844602856,0.4995995402888029,0.9999794315914441,112.58660508093503,54.63337182369188,-0.987827836447968,-0.9856191890237007,-0.9867262532378002,1.0038276732918179,111.93719639796453,112.16334582980458,8,8,0.0011015832101678447,1.159,-0.024854105523515746,12.503339231014252,2.81126005100386,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",,nan,True,True,True,True,True,True,-0.954675284785697,-0.031982297561224726,,,520,4.0,True,True,-0.019551883250461533,-0.020866311371455337,True
n100_final_g780_stdpon,8,100,2710,on,1.693,-0.9918289206055356,0.002877890319368227,0.0017552309626318596,-0.9207357078179693,0.010501912865946875,-0.0710932127875663,-0.9927039330365853,-0.923448602258993,0.27586639290581183,0.05279446887841897,0.3505569471601536,15.922788250712443,16.32837813725158,779.9885224098292,0.0015548545035223601,0.4997553486612082,0.9999633895678756,172.2513888889636,75.46000000011995,-0.9908378606413274,-0.9932140615976003,-0.991728328653989,0.9984092754035327,172.5041681289312,174.02083301532426,8,8,-0.0008904680126616132,1.747,-0.06925533077759238,13.413410544395447,2.858449070334597,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",,nan,True,True,True,True,True,True,-0.9935841515681675,0.0017552309626318596,,,780,4.0,True,True,0.009003736125193895,-0.0005780193407018963,True
base_k100_g350_stdpoff,8,1200,118208,off,2.895,-0.9183837159439541,0.013930462914355327,0.0,-0.895186552329049,0.0064483805107627325,-0.023197163614905092,-0.917176888367963,-0.8942458773473679,2.5232858439136447,0.3544591562301273,3.0205109415494142,13.903824229606489,12.363286886057853,350.39999614510634,0.0020183209940103715,0.49998431494300144,0.9998814548409788,297.9452054788323,568.4460616387779,-0.9128876110867645,-0.9150366449595004,-0.929017121250351,1.0000029985237084,295.7578580647198,296.620936807476,8,8,-0.01612951016358645,2.952,-0.022931011020595027,179.13624250888824,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,0.0,True,True,True,True,True,True,-0.9183837159439541,0.0,,,350,4.0,True,True,0.0,0.0,True
base_k100_g520_stdpoff,8,1200,118208,off,2.597,-0.954675284785697,0.012718721170074962,0.0,-0.9380884213335132,0.006208502236068943,-0.016586863452183742,-0.9424144359608314,-0.9360922253842866,0.83370917911367,0.018951726319373963,1.0107923931378096,15.893402375129783,15.699503212941417,519.5999966074984,3.7255061470428015e-06,0.4999938426237521,0.9999997925287201,243.6922632788459,514.7806004569853,-0.950963319557919,-0.9516176337647815,-0.9620464394130523,0.9989320449456052,243.799166997111,244.41803176477217,8,8,-0.0110831198551333,2.601,-0.006322210576544807,168.4332850575447,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.042901869004464244,True,True,True,True,True,True,-0.954675284785697,0.0,,,520,4.0,True,True,0.0,0.0,True
base_k100_g780_stdpoff,8,1200,118208,off,2.26,-0.9935841515681675,0.0031126034477438683,0.0,-0.9297394439431632,0.005521441662258915,-0.06384470762500427,-0.9934845699506566,-0.922870582918291,0.24735606680443037,0.022684785143475054,0.20478728064725163,17.0625245865645,17.092161312217424,779.987317169679,0.00193771620573056,0.5003199966325105,0.9999550194128889,260.6925000011195,447.98324999988984,-0.9920159233597478,-0.9936337992215353,-0.9952806002950068,0.9993732116325017,263.36375002167927,267.37666595090997,8,8,-0.003264676935259017,2.257,-0.07061398703236554,166.0816314816475,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.034552891614114234,True,True,True,True,True,True,-0.9935841515681675,0.0,,,780,4.0,True,True,0.0,0.0,True
