cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom
ctrl_n480_stdpoff,8,480,13100,off,1.26,-0.9427732597391856,0.023204718431524815,0.010226740260814382,-0.9463857311504513,0.007401268430123435,0.0036124714112657497,-0.9091368721786189,-0.9487271255107674,3.7393790846520405,1.7969981168181164,1.1435827948999147,11.779794773672773,15.56792755100857,519.5969906918499,0.0003390572893845807,0.499993203575457,0.9999977103714981,126.28103348729586,19.395929561188247,-0.945840320549368,-0.9371324154514518,-0.9466327017556356,0.9858271160925389,127.2765465255749,126.11565064234335,7,8,-0.0007923812062676505,1.28,0.039590253332148495,10.58516874909401,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.0,True,True,True,True,True,True,nan,nan,,
n240_bern_pi_stdpoff,8,240,5509,off,1.33,-0.8388973644842478,0.11299751810807607,0.11410263551575217,-0.8982665888164456,0.036765403065717926,0.05936922433219782,-0.8680192273265845,-0.9026022219543366,3.90942382347859,3.081040910628884,1.164975124253379,9.603692745850713,15.547385215479936,519.599766089693,0.0004349335686641262,0.49995854435767156,0.9999962908262792,130.05797729022385,16.990232871421757,-0.8284361069972545,-0.837970851594722,-0.8550385944317361,1.0314838279966232,130.53975795989032,129.97515154120995,8,8,-0.02660248743448168,1.287,0.03458299462775205,7.668345630168915,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.048119142334005716,False,True,False,False,True,False,nan,nan,,readout off-centre: corr_F worse than corr_RG by 0.059 -> re-gate; seed SD 0.113 -> too few inputs per neuron (fixed in-degree / raise p)
n240_bern_stdpoff,8,240,5509,off,1.337,-0.8349056343738854,0.1086251432531677,0.11809436562611453,-0.8904571982283204,0.047587422458509235,0.05555156385443494,-0.8686941026922963,-0.8935279213624234,4.27814012363658,3.2993660274456817,1.1852167128826827,9.007799148440341,15.456006091322868,519.6022221593712,0.0004801394228624419,0.49988085159888657,0.9999955660943258,131.74196497305314,15.125817936867021,-0.8205847696563328,-0.848465588078086,-0.8402272026124384,0.962198830964125,132.2847952012243,131.83379307047227,5,8,-0.019642432956105696,1.301,0.024833818670127128,7.529960215091705,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.05592853292213096,False,False,False,False,True,False,nan,nan,,readout off-centre: corr_F worse than corr_RG by 0.056 -> re-gate; shallow flexor trough 4.28 -> E3 inhibition; seed SD 0.109 -> too few inputs per neuron (fixed in-degree / raise p)
n240_indeg_pi_stdpoff,8,240,5592,off,1.289,-0.9547800695334598,0.010175393529929435,-0.0017800695334598826,-0.9440074878028657,0.008140863398831882,-0.010772581730594144,-0.9484283118417003,-0.9444494269689576,3.0780590375415637,0.7794703398547945,1.13474584318706,12.973576742500388,15.579418595952598,519.5979331954252,0.0003880775652191433,0.4999993441764586,0.9999972736098885,129.60690916089268,22.22262317163981,-0.9552188497787603,-0.9548848292731166,-0.9552764267820114,1.0190388422640315,130.12159381551328,129.54106574917608,8,8,-5.75770032511802e-05,1.284,-0.003978884872742672,7.737797021865845,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,0.002378243347585629,True,True,True,True,True,True,nan,nan,,
n240_indeg_stdpoff,8,240,5592,off,1.289,-0.9723727042126508,0.005739222998669876,-0.019372704212650804,-0.9545816728005421,0.005959612262976829,-0.017791031412108693,-0.959406555161054,-0.9529702126818806,2.3186933008927726,0.5180573820798577,1.1367293533223188,13.64354773179997,15.525167391893431,519.5990048532112,0.000401460551731285,0.5000208214728699,0.9999967850612588,129.12576982295028,26.492734795983974,-0.9783931575943954,-0.9704137489431967,-0.9689962123711651,1.0032390382047618,131.38553564713447,128.61684774858364,7,8,0.00939694522323034,1.289,-0.0064363424791733514,7.6470043659210205,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",ctrl_n480_stdpoff,-0.008195941650090743,True,True,True,True,True,True,nan,nan,,
n240_indeg_pi_stdpon,8,240,5592,on,1.273,-0.9523430531629004,0.011129900851355339,0.0006569468370996034,-0.9415826416012067,0.006904338903861749,-0.010760411561693606,-0.9379313655056578,-0.942385130889899,2.882263030912381,0.5485643939299361,1.1103756207543067,13.297320530574455,15.603399170180206,519.603041265429,0.0002718967303002492,0.49999127471718474,0.9999982880767168,127.5921381832161,22.67369130098725,-0.948282280185996,-0.9524022427343026,-0.9618858868207614,1.0398261398612114,129.15959865760863,127.95304447650435,8,8,-0.013603606634765439,1.267,0.004453765384241137,7.841720789670944,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,nan,nan,,
