cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom,gait_ms,trough_lim,A6,A7,d_rg_base,d_rg_base_R,A8
n100_kmin2c_g350_stdpoff,8,100,2353,off,1.246,-0.8923221859452897,0.022979135889041033,0.0260615299986644,-0.9086567811855583,0.009177939860687517,0.01633459524026859,-0.8644381967353331,-0.8948699751882263,2.5453713153058537,1.017854736175158,2.8758015685426566,11.195005196607418,11.986251167914293,350.399526543591,0.0018509361072601303,0.4997765564289998,0.9999215214555165,123.50171232871111,44.00684931467304,-0.8918132703049009,-0.8893847696686362,-0.8978505715195304,0.9947781577754029,123.5004773332671,123.68516061697336,7,8,-0.006037301214629462,1.246,0.030431778452893243,14.259244680404663,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.013470228856509281,False,True,True,True,True,False,-0.9183837159439541,0.0260615299986644,,"RIGHT leg off baseline (corr_F R -0.864, corr_RG R -0.895)",350,4.0,False,True,-0.013470228856509281,-0.000624097840858373,True
n100_kmin2c_g520_stdpoff,8,100,2353,off,1.247,-0.9488051170054542,0.02725855551057614,0.005870167780242741,-0.9412332391331729,0.006274744447949211,-0.007571877872281307,-0.9287843704408028,-0.9373235368871029,1.3189581444556961,0.777188140315019,1.042431245455973,13.374969301096757,15.072301374207324,519.599069104036,0.0012194940619433773,0.49980573578642024,0.9999719666818774,123.98960739033069,33.992494226011566,-0.9546135782050481,-0.948052663308405,-0.9446519074341457,0.9798891711049881,123.77429953835218,124.56412222819745,7,8,0.009961670770902431,1.238,0.00853916644630015,13.208268225193024,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.04604668680412394,True,True,True,True,True,True,-0.954675284785697,0.005870167780242741,,,520,4.0,True,True,-0.0031448177996596938,-0.0012313115028163013,True
n100_kmin2c_g780_stdpoff,8,100,2353,off,1.24,-0.9628882021661151,0.017428066240280943,0.030695949402052336,-0.8297838071992234,0.02994151575783203,-0.13310439496689175,-0.9433923452731913,-0.8216946733934638,1.5552151327529204,1.2055536191151646,0.37504384187113254,13.283248404648026,16.174676929646704,779.9740545015162,0.0015679413498865978,0.5000704710530228,0.9999586411278611,123.40680272102963,28.303333333319934,-0.9624519841928103,-0.9631485412717793,-0.9639011982304697,1.0055228411314312,123.19166574472989,123.8513887405918,8,8,-0.0014492140376593382,1.229,-0.12169767187972746,13.35108271241188,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,0.06540274512982558,False,True,True,True,True,False,-0.9935841515681675,0.030695949402052336,,"RHYTHM weaker than baseline at this gait (corr_RG -0.830 / R -0.822, baseline -0.930 worse by 0.100) -- force looks fine only because the gate squares it -> E3/E5 at this gait",780,4.0,False,True,0.09995563674393981,0.10117590952482725,False
n100_kmin3c_inex15_lam6_g350_stdpon,8,100,2532,on,1.164,-0.9045175635096699,0.037606690985355164,0.01386615243428413,-0.9178496318938609,0.007877993752359928,0.013332068384190987,-0.9109361257332248,-0.9220998325291241,2.0054757673424133,0.6668345089156617,2.8887222213048362,11.483834885039462,12.024572306999637,350.4023538762676,0.0018100296606585245,0.5002668687153223,0.999927094126374,112.58561643862396,67.72260273876918,-0.9049820910882862,-0.9091658862790204,-0.9012218399092867,0.9986935365895168,113.0181978378432,112.8216581758807,7,8,0.0037602511789995435,1.147,0.011163706795899286,13.390106350183487,2.7249271141672384,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,False,True,True,False,-0.9183837159439541,0.01386615243428413,,seed SD 0.038 -> too few inputs per neuron (fixed in-degree / raise p),350,4.0,True,True,-0.02266307956481195,-0.02785395518175615,True
n100_kmin3c_inex15_lam6_g520_stdpon,8,100,2532,on,1.145,-0.9741978157002121,0.014876384995073823,-0.019522530914515168,-0.954471084846656,0.003958964522346563,-0.01972673085355614,-0.9692198379330095,-0.9575087576971271,0.9115458210625804,0.3187386538774236,1.0457157338333611,14.053570505436154,15.136879142533965,519.5968321120795,0.0010274351439821775,0.5000861365589963,0.9999796542652641,113.16397228646841,51.31351039194585,-0.9744470285938086,-0.9760960062242681,-0.9724871489567788,0.9962672370412651,113.23595421255015,112.6580995766564,8,8,0.0019598796370298016,1.124,-0.01171108023588241,12.507320910692215,2.8133114009614975,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,True,-0.954675284785697,-0.019522530914515168,,,520,4.0,True,True,-0.01638266351314277,-0.021416532312840464,True
n100_kmin3c_inex15_lam6_g780_stdpon,8,100,2532,on,1.12,-0.9780302345181275,0.016697424564998127,0.015553917050039945,-0.8733321565281065,0.013029266048793748,-0.10469807799002107,-0.9743193661102845,-0.8847551828849043,0.9565630458656355,0.7237307151610518,0.36432756325502935,14.379535474850176,16.253407078451122,779.9778852662349,0.0017682380146997229,0.5002937140368486,0.9999502221966917,113.0500000000316,40.05138888875058,-0.9776294718626818,-0.9754095466959111,-0.9813707670664671,0.997920024701074,112.6819451332605,113.83749971396286,8,8,-0.003741295203785383,1.106,-0.08956418322538018,14.006136983633041,2.8878710639004033,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",,nan,True,True,True,True,True,False,-0.9935841515681675,0.015553917050039945,,"RHYTHM weaker than baseline at this gait (corr_RG -0.873 / R -0.885, baseline -0.930 worse by 0.056) -- force looks fine only because the gate squares it -> E3/E5 at this gait",780,4.0,True,True,0.05640728741505674,0.03811540003338676,False
base_k100_g350_stdpoff,8,1200,118208,off,2.895,-0.9183837159439541,0.013930462914355327,0.0,-0.895186552329049,0.0064483805107627325,-0.023197163614905092,-0.917176888367963,-0.8942458773473679,2.5232858439136447,0.3544591562301273,3.0205109415494142,13.903824229606489,12.363286886057853,350.39999614510634,0.0020183209940103715,0.49998431494300144,0.9998814548409788,297.9452054788323,568.4460616387779,-0.9128876110867645,-0.9150366449595004,-0.929017121250351,1.0000029985237084,295.7578580647198,296.620936807476,8,8,-0.01612951016358645,2.952,-0.022931011020595027,179.13624250888824,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,0.0,True,True,True,True,True,True,-0.9183837159439541,0.0,,,350,4.0,True,True,0.0,0.0,True
base_k100_g520_stdpoff,8,1200,118208,off,2.597,-0.954675284785697,0.012718721170074962,0.0,-0.9380884213335132,0.006208502236068943,-0.016586863452183742,-0.9424144359608314,-0.9360922253842866,0.83370917911367,0.018951726319373963,1.0107923931378096,15.893402375129783,15.699503212941417,519.5999966074984,3.7255061470428015e-06,0.4999938426237521,0.9999997925287201,243.6922632788459,514.7806004569853,-0.950963319557919,-0.9516176337647815,-0.9620464394130523,0.9989320449456052,243.799166997111,244.41803176477217,8,8,-0.0110831198551333,2.601,-0.006322210576544807,168.4332850575447,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.042901869004464244,True,True,True,True,True,True,-0.954675284785697,0.0,,,520,4.0,True,True,0.0,0.0,True
base_k100_g780_stdpoff,8,1200,118208,off,2.26,-0.9935841515681675,0.0031126034477438683,0.0,-0.9297394439431632,0.005521441662258915,-0.06384470762500427,-0.9934845699506566,-0.922870582918291,0.24735606680443037,0.022684785143475054,0.20478728064725163,17.0625245865645,17.092161312217424,779.987317169679,0.00193771620573056,0.5003199966325105,0.9999550194128889,260.6925000011195,447.98324999988984,-0.9920159233597478,-0.9936337992215353,-0.9952806002950068,0.9993732116325017,263.36375002167927,267.37666595090997,8,8,-0.003264676935259017,2.257,-0.07061398703236554,166.0816314816475,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.034552891614114234,True,True,True,True,True,True,-0.9935841515681675,0.0,,,780,4.0,True,True,0.0,0.0,True
