cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,wall_s,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO
chk20_ctrl_n480_stdpoff,8,480,13100,off,1.256,-0.8716924757231357,0.021777052260154944,0.08130752427686427,-0.634131147339905,0.04127058681200113,-0.23756132838323063,-0.8462462955528144,-0.6180478896384722,6.6955918234054685,1.8124511572697108,1.715264092513952,7.72642509496535,14.696711738655262,519.5858642294854,0.003609992316590257,0.49988152232060806,0.9996994625009445,126.1729166668723,28.010786559493415,-0.871269208777576,-0.8647639197694731,-0.8805913815275256,0.9787347297796383,126.23471493679703,126.0871770542965,8,28.642408072948456,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_stdpoff,0.30409075615875414,False,False,True,False,True,False,nan,nan,
ctrl_n480_stdpoff,8,480,13100,off,1.263,-0.9456683340994461,0.025668125001924943,0.0073316659005538964,-0.9491759976095175,0.006854875713784014,0.0035076635100714793,-0.8924495182339232,-0.9469647664371623,3.64927505743153,1.7404030914917117,1.1417204698642671,11.78576439990401,15.56989265133602,519.5996861614735,0.0003108218806952481,0.4999956582453491,0.9999978735897498,126.42537528865667,19.576356812643073,-0.9448828361389218,-0.9457534527988741,-0.9467632000585524,0.9921124636017988,126.26356196929012,126.46457060219198,8,20.18310058116913,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_stdpoff,-0.010954094110858348,True,True,True,True,True,True,-0.94,-0.005668334099446115,True
ctrl_n480_stdpon,8,480,13100,on,1.24,-0.9366215966576663,0.023087426117281803,0.016378403342333647,-0.9457433105503219,0.0077414808246443504,0.009121713892655592,-0.8805416135454381,-0.9445481858849953,2.8848338453869555,1.1864531697174312,1.0986719366038213,12.728191193304307,15.613641814352128,519.6025423046525,0.00023965748621739263,0.5000050702621526,0.9999987213233775,123.79113741341322,20.51457852163871,-0.937679011458838,-0.9530850937284976,-0.9532494117251953,1.0822227890474603,124.56692738970392,122.36600911643028,7,19.79163232445717,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_stdpon,0.0001379071744844751,True,True,True,True,True,True,-0.94,0.0033784033423336357,True
base_k100_stdpoff,8,1200,118208,off,2.597,-0.9547167750736429,0.014500530501571636,-0.0017167750736429843,-0.9382219034986592,0.004321789187623292,-0.01649487157498375,-0.9443416109158715,-0.9360532481869325,0.8523606248275023,0.06482663173622377,1.010792488352869,15.880481476163322,15.699504414309528,519.5999969267341,4.418553654577153e-05,0.4999892195395106,0.9999992408119631,243.76443417868168,512.449480363876,-0.9534381409971776,-0.9632396535624699,-0.9477695851862817,0.999443706909466,242.84644965009403,243.45307960322108,6,182.18152710795403,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_stdpoff,0.0,True,True,True,True,False,False,-0.953,-0.0017167750736429843,True
base_k100_stdpon,8,1200,118208,on,2.558,-0.9729634407275171,0.010661359618896644,-0.0199634407275171,-0.9458812177248064,0.005184238528493277,-0.02708222300271068,-0.956353054999959,-0.9416532975480483,0.8785474841924553,0.06083981056578787,1.0107924533860089,15.84810719801269,15.699501521353579,519.6000026069227,9.525819617199959e-06,0.5000006992005407,0.999999997250648,240.74047343919173,507.53464202692584,-0.9720667961157898,-0.9771244764066178,-0.9703556942723919,1.0008256748274706,244.851419628938,234.68796831232757,6,3137.3034654557705,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_stdpon,0.0,True,True,True,False,False,False,-0.953,-0.0199634407275171,True
