cell,n,izh_total,syn_izh,stdp,x0f,corr_F,corr_F_sd,d_base,corr_RG,corr_RG_sd,gap,corr_F_R,corr_RG_R,troughF,troughF_sd,troughE,ampF,ampE,period_ms,period_cv,lr_phase,lr_R,rgf_p50,rgf_span,cF_t1,cF_t2,cF_t3,ampF_t3_t1,rgf_p50_t1,rgf_p50_t3,n_stable,n_cyc_ok,d_corr_t3_t1,x0f_r,gap_R,wall_s,w_drift,nest,threads,seeds,ref_cell,d_rg_ref,A1,A2,A3,A4,A5,PASS,target,d_target,REPRO,symptom,gait_ms,trough_lim,A6,A7,d_rg_base,d_rg_base_R,A8
n100_final10_g350_stdpoff,8,100,2710,off,1.218,-0.9162725536142986,0.024547930206291653,0.0021111623296554693,-0.9137119532996335,0.018926398820590565,-0.0025606003146650957,-0.9032240724294908,-0.9127742094746714,2.3837858717767606,0.2988312527032761,2.917359138306441,11.3292816956615,12.05271979149872,350.3992023843674,0.0017190546712840121,0.4993503876873339,0.9999361325809588,120.7191780822247,50.64212328709082,-0.9167298621685458,-0.9201066266206733,-0.9127593372630426,1.006068753476695,120.50873448914663,120.74494285487394,8,8,0.003970524905503189,1.241,0.009550137045180596,13.94334688782692,nan,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",base_k100_g350_stdpoff,-0.018525400970584527,True,True,True,True,True,True,-0.9183837159439541,0.0021111623296554693,,,350,4.0,True,True,-0.018525400970584527,-0.018528332127303426,True
n100_final10_g520_stdpoff,8,100,2710,off,1.21,-0.9785983491342334,0.008421138579855622,-0.023923064348536416,-0.9529129005337412,0.009240946701053951,-0.025685448600492156,-0.9601475821028321,-0.9502221770992392,1.1152900199149183,0.22314344834280134,1.0629704758923395,13.692800872159456,15.172190059795781,519.5972452585999,0.0010450993904706364,0.49951860464290115,0.9999755391017553,121.60796766747328,39.477482678462934,-0.9795438719317532,-0.974972920923652,-0.981513334283395,0.9999335334787651,121.82529510346554,121.68337801002829,8,8,-0.001969462351641846,1.23,-0.009925405003592958,13.43140622973442,nan,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",base_k100_g350_stdpoff,-0.057726348204692246,False,True,True,True,True,False,-0.954675284785697,-0.023923064348536416,,"MORE alternating than baseline by 0.024 (troughF 1.12): too much inhibition, step it back",520,4.0,True,True,-0.014824479200228002,-0.014129951714952571,True
n100_final10_g780_stdpoff,8,100,2710,off,1.881,-0.9911796533491808,0.0031066716326384504,0.002404498218986695,-0.8998262912156749,0.0139844436677143,-0.09135336213350587,-0.9896620552018393,-0.9002712794067531,0.3757692743421415,0.1445169056647335,0.35832661044086345,15.785622661750054,16.31187354510852,779.9828695951919,0.0015101951737372015,0.49973205060842,0.9999648958818952,187.60694444453543,58.115555555401755,-0.9918162358228677,-0.9914524740089864,-0.9905080258456738,0.9970043946988203,187.2333333970256,189.25000152594242,8,8,0.0013082099771939415,1.91,-0.08939077579508614,13.68302521109581,nan,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",base_k100_g350_stdpoff,-0.004639738886625944,True,True,True,True,True,False,-0.9935841515681675,0.002404498218986695,,"RHYTHM weaker than baseline at this gait (corr_RG -0.900 / R -0.900, baseline -0.930 worse by 0.030) -- force looks fine only because the gate squares it -> E3/E5 at this gait",780,4.0,True,True,0.02991315272748829,0.022599303511537938,False
n100_final10_g350_stdpon,8,100,2710,on,1.216,-0.9205111835913891,0.02447825613241528,-0.0021274676474349885,-0.9158253791166631,0.01673889334575716,-0.004685804474725996,-0.9063510327486759,-0.9123394157258911,2.394907465261136,0.30152521329359555,2.9184258838785584,11.270606797698976,12.055522001846445,350.40101904035447,0.0016412611509864306,0.4993210554933488,0.9999374723584491,120.29109589052759,51.49828767043589,-0.9233660366712564,-0.9194008100063701,-0.9200225160031565,1.0042484174115955,120.50551829909763,120.50478821032657,5,8,0.0033435206680997864,1.241,0.0059883829772151564,14.511353999376297,2.7171002432557985,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",,nan,True,True,True,True,True,True,-0.9183837159439541,-0.0021274676474349885,,,350,4.0,True,True,-0.020638826787614084,-0.018093538378523122,True
n100_final10_g520_stdpon,8,100,2710,on,1.21,-0.9795664806933412,0.006039838845490024,-0.024891195907644215,-0.9525437893790534,0.010549639591237885,-0.027022691314287806,-0.9657646877537328,-0.9507985544111421,1.0684286541165053,0.19023003783296072,1.0631307822520473,13.695924395378947,15.176648680016916,519.6004764490374,0.0009926466760292432,0.49956440761318577,0.9999787344967929,120.52540415710938,39.766166281244814,-0.9806771768101471,-0.9783924539113253,-0.9799214573664722,1.0086481872807578,120.95722858489417,120.37836829982768,8,8,0.0007557194436749182,1.233,-0.01496613334259067,13.009078741073608,2.796356425236198,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",,nan,True,True,True,True,True,True,-0.954675284785697,-0.024891195907644215,,,520,4.0,True,True,-0.014455368045540151,-0.014706329026855536,True
n100_final10_g780_stdpon,8,100,2710,on,1.868,-0.9903922440052162,0.001980015274109874,0.0031919075629512905,-0.8968233399317468,0.01294868330316954,-0.0935689040734694,-0.9891120470768097,-0.8987192153927588,0.3944489747129667,0.1506657847661878,0.3502551250892423,15.766871453350205,16.332154842466842,779.9892414903251,0.0015649604844274502,0.4998478833972879,0.999965531352829,187.61805555582853,58.64111111111659,-0.9890627403134888,-0.9917111815810125,-0.9906791956984373,1.0026231809491644,187.6374999364096,188.38472309129622,8,8,-0.0016164553849485064,1.906,-0.09039283168405088,13.450290858745575,2.8576486787101865,3.9.0,1,"[13579, 23579, 33579, 43579, 53579, 63579, 73579, 83579]",,nan,True,True,True,True,True,False,-0.9935841515681675,0.0031919075629512905,,"RHYTHM weaker than baseline at this gait (corr_RG -0.897 / R -0.899, baseline -0.930 worse by 0.033) -- force looks fine only because the gate squares it -> E3/E5 at this gait",780,4.0,True,True,0.032916104011416425,0.024151367525532264,False
base_k100_g350_stdpoff,8,1200,118208,off,2.895,-0.9183837159439541,0.013930462914355327,0.0,-0.895186552329049,0.0064483805107627325,-0.023197163614905092,-0.917176888367963,-0.8942458773473679,2.5232858439136447,0.3544591562301273,3.0205109415494142,13.903824229606489,12.363286886057853,350.39999614510634,0.0020183209940103715,0.49998431494300144,0.9998814548409788,297.9452054788323,568.4460616387779,-0.9128876110867645,-0.9150366449595004,-0.929017121250351,1.0000029985237084,295.7578580647198,296.620936807476,8,8,-0.01612951016358645,2.952,-0.022931011020595027,179.13624250888824,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,0.0,True,True,True,True,True,True,-0.9183837159439541,0.0,,,350,4.0,True,True,0.0,0.0,True
base_k100_g520_stdpoff,8,1200,118208,off,2.597,-0.954675284785697,0.012718721170074962,0.0,-0.9380884213335132,0.006208502236068943,-0.016586863452183742,-0.9424144359608314,-0.9360922253842866,0.83370917911367,0.018951726319373963,1.0107923931378096,15.893402375129783,15.699503212941417,519.5999966074984,3.7255061470428015e-06,0.4999938426237521,0.9999997925287201,243.6922632788459,514.7806004569853,-0.950963319557919,-0.9516176337647815,-0.9620464394130523,0.9989320449456052,243.799166997111,244.41803176477217,8,8,-0.0110831198551333,2.601,-0.006322210576544807,168.4332850575447,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.042901869004464244,True,True,True,True,True,True,-0.954675284785697,0.0,,,520,4.0,True,True,0.0,0.0,True
base_k100_g780_stdpoff,8,1200,118208,off,2.26,-0.9935841515681675,0.0031126034477438683,0.0,-0.9297394439431632,0.005521441662258915,-0.06384470762500427,-0.9934845699506566,-0.922870582918291,0.24735606680443037,0.022684785143475054,0.20478728064725163,17.0625245865645,17.092161312217424,779.987317169679,0.00193771620573056,0.5003199966325105,0.9999550194128889,260.6925000011195,447.98324999988984,-0.9920159233597478,-0.9936337992215353,-0.9952806002950068,0.9993732116325017,263.36375002167927,267.37666595090997,8,8,-0.003264676935259017,2.257,-0.07061398703236554,166.0816314816475,nan,3.9.0,1,"[12345, 22345, 32345, 42345, 52345, 62345, 72345, 82345]",base_k100_g350_stdpoff,-0.034552891614114234,True,True,True,True,True,True,-0.9935841515681675,0.0,,,780,4.0,True,True,0.0,0.0,True
